Node_ID,Date,Rainfall_mm,Rainfall_Intensity_mm_hr,Soil_Type,Land_Slope_%,Fertilizer_N_kg_acre,Fertilizer_P_kg_acre,Pesticide_Conc_mg_L,Days_Since_Application,Runoff_Volume_m3,Reservoir_Volume_m3,Nitrate_mg_L,Phosphate_mg_L,Turbidity_NTU,pH,DO_mg_L,BOD_mg_L,COD_mg_L,Toxicity_Index,Toxicity_Class
V2,2026-11-27,113.05,25.52,Sandy,1.93,140.11,40.88,0.305,9,7630.74,478360.05,65.25,9.35,34.04,7.13,3.35,7.61,46.33,70.45,Moderate
V4,2026-03-29,190.78,24.96,Sandy,5.43,155.31,72.11,0.93,3,28959.38,553570.64,47.26,4.27,73.18,6.5,5.1,12.18,55.63,72.11,Moderate
V1,2026-04-10,170.96,32.1,Sandy,1.9,134.13,71.52,0.633,5,10124.78,495885.44,30.46,5.69,77.71,7.63,5.92,1.65,46.53,50.29,Moderate
V5,2026-12-26,183.7,31.61,Loamy,5.05,109.07,51.89,0.442,8,25956.91,450286.47,55.9,3.05,18.02,6.22,3.74,3.22,51.43,53.81,Moderate
V1,2026-06-01,164.62,41.3,Sandy,5.85,155.05,45.43,0.552,1,33185.55,478864.21,54.91,2.22,21.73,7.66,6.83,6.57,47.3,52.87,Moderate
V1,2026-05-11,30.69,26.44,Sandy,5.9,102.05,45.83,0.645,8,19888.71,410724.52,24.66,8.95,44.42,7.21,6.72,4.22,41.53,36.48,Low
V1,2026-05-30,38.31,49.83,Loamy,6.27,106.57,67.9,0.604,7,20280.93,611327.09,12.13,3.94,11.84,6.37,7.52,5.73,31.35,9.44,Safe
V3,2026-11-05,110.06,7.68,Sandy,7.11,136.06,65.71,0.538,1,17753.07,547635.0,40.35,10.02,37.73,7.08,3.04,14.97,55.11,61.42,Moderate
V3,2026-09-15,56.75,5.14,Sandy,4.5,141.23,71.31,0.554,6,13428.48,428272.92,49.87,11.95,48.63,6.56,4.08,12.56,42.55,65.73,Moderate
V1,2026-12-10,100.57,33.81,Loamy,6.11,154.35,77.5,0.259,1,18220.96,451508.2,71.36,1.84,44.16,6.65,7.14,13.37,29.92,68.42,Moderate
V5,2026-10-21,84.93,18.43,Clay,5.33,96.38,67.68,0.831,2,22289.84,430760.36,74.98,6.2,29.82,6.7,6.35,14.12,14.17,62.85,Moderate
V4,2026-07-11,114.39,15.82,Loamy,2.31,143.84,46.23,0.588,5,34551.73,583777.84,47.02,9.82,45.68,6.13,7.47,5.77,24.54,47.6,Low
V4,2026-10-04,151.91,19.04,Sandy,1.18,139.08,49.74,0.218,2,33008.47,428263.11,62.77,9.68,76.91,7.97,3.29,5.16,37.19,76.28,High
V2,2026-06-10,145.94,16.52,Sandy,2.99,85.1,73.69,0.79,1,30588.89,626284.7,40.75,9.36,20.45,6.06,5.98,4.28,23.78,33.78,Low
V5,2026-11-10,109.03,6.39,Sandy,4.1,110.98,48.37,0.939,6,31452.18,406153.28,62.23,4.84,54.11,7.32,5.85,12.62,21.06,62.09,Moderate
V3,2026-01-22,166.25,48.72,Loamy,5.32,102.62,42.9,0.953,8,17971.17,474812.74,24.34,5.99,8.25,6.74,3.18,10.51,36.37,25.75,Low
V1,2026-09-10,91.86,14.93,Sandy,6.95,104.36,68.13,0.432,8,24038.22,667200.0,35.97,7.54,9.98,7.29,5.57,4.31,18.49,23.36,Safe
V2,2026-08-24,180.38,38.03,Sandy,2.37,158.64,56.1,0.222,8,31642.14,615559.4,54.4,11.71,46.39,6.71,6.05,6.28,50.02,67.37,Moderate
V4,2026-12-11,23.54,39.32,Loamy,1.88,131.42,76.8,0.567,6,15574.42,421890.5,11.27,4.6,12.87,7.35,3.96,8.09,34.22,13.42,Safe
V3,2026-02-18,191.39,46.82,Clay,7.74,137.41,66.01,0.201,3,33776.4,646337.83,60.57,11.15,6.68,7.46,4.37,8.39,38.69,56.03,Moderate
V3,2026-02-28,134.39,6.37,Clay,1.76,158.13,43.62,0.941,1,16305.15,547910.54,68.49,3.96,17.86,7.38,6.2,13.44,17.37,53.82,Moderate
V1,2026-06-19,82.21,44.24,Sandy,4.35,110.18,77.91,0.265,2,22234.65,654034.91,37.94,11.88,47.36,6.23,5.34,6.33,26.23,44.15,Low
V4,2026-07-07,47.46,28.73,Loamy,5.1,144.15,50.34,0.327,5,25713.75,580221.93,41.36,8.37,57.75,7.31,7.29,13.72,30.5,53.83,Moderate
V5,2026-09-28,101.04,33.46,Sandy,4.79,114.76,53.49,0.466,5,33418.94,604549.91,69.59,6.1,20.19,6.56,4.71,7.18,50.41,68.7,Moderate
V3,2026-07-09,46.97,34.0,Loamy,1.6,149.56,56.09,0.445,1,10827.72,698050.47,64.3,7.75,55.12,6.06,4.33,11.45,48.51,78.37,High
V1,2026-06-24,41.6,41.89,Loamy,1.4,94.45,42.05,0.815,1,26876.19,469700.66,30.17,4.0,18.69,6.83,7.92,14.02,21.15,25.9,Low
V5,2026-02-20,127.3,20.0,Clay,1.74,155.81,59.86,0.511,9,19666.1,587183.67,32.68,4.02,51.01,6.87,7.56,13.71,40.81,47.0,Low
V4,2026-12-30,109.39,37.99,Clay,5.1,97.5,44.93,0.254,2,11593.83,538096.42,57.52,2.25,35.9,6.93,3.14,1.8,22.17,45.79,Low
V3,2026-02-24,137.32,28.79,Loamy,4.81,106.1,56.04,0.34,7,27851.42,411835.59,49.42,2.25,54.03,7.41,6.85,3.88,59.41,62.63,Moderate
V5,2026-09-01,186.63,40.7,Sandy,2.64,140.5,54.03,0.558,4,20671.11,404341.19,21.36,4.82,79.63,6.62,3.55,7.68,57.61,52.93,Moderate
V5,2026-11-16,111.13,49.57,Clay,5.46,111.5,70.91,0.233,7,24151.16,435768.57,31.7,9.39,75.34,6.63,3.14,7.04,38.16,53.13,Moderate
V5,2026-05-11,120.38,14.03,Sandy,6.74,128.66,72.13,0.65,8,13332.83,594727.52,73.0,7.69,5.32,6.12,4.37,9.97,44.95,67.01,Moderate
V3,2026-11-03,27.03,49.76,Clay,1.29,115.57,46.14,0.609,5,18400.77,570148.93,58.17,2.13,71.41,7.37,4.35,14.23,50.07,77.62,High
V3,2026-05-15,146.35,9.04,Clay,4.49,139.39,54.66,0.743,1,22755.34,566028.87,79.02,10.37,9.99,7.14,7.1,2.57,46.05,69.87,Moderate
V2,2026-01-21,85.98,5.1,Sandy,5.83,98.27,54.93,0.944,4,15957.15,409557.03,63.69,7.62,76.48,6.7,6.55,7.33,44.99,79.56,High
V4,2026-11-25,195.58,6.99,Clay,2.77,84.68,46.06,0.921,3,9347.92,540790.9,75.94,11.57,26.14,7.41,7.91,3.69,57.93,79.23,High
V1,2026-06-16,166.4,20.38,Clay,3.15,103.99,71.94,0.951,5,33772.5,677386.85,25.13,8.37,33.65,7.07,6.56,13.52,39.82,38.17,Low
V5,2026-10-01,109.27,33.48,Sandy,5.3,117.94,68.29,0.32,6,19366.96,519277.56,64.0,2.93,11.87,6.94,5.09,14.5,41.82,60.23,Moderate
V2,2026-03-30,33.41,8.11,Clay,7.29,93.44,47.62,0.218,2,26485.45,587476.74,11.42,6.21,13.42,7.02,6.49,7.7,52.46,22.18,Safe
V1,2026-11-12,173.29,5.25,Clay,6.67,108.38,54.67,0.372,7,16153.51,633945.6,56.95,8.13,59.51,7.27,8.0,2.46,43.49,65.18,Moderate
V2,2026-01-14,161.96,47.17,Clay,5.08,112.0,44.23,0.906,3,14364.22,635177.58,42.85,1.31,75.82,7.32,6.55,11.99,46.65,62.9,Moderate
V3,2026-08-30,45.07,41.99,Sandy,6.11,84.59,65.13,0.975,1,16029.26,555784.02,34.27,1.16,50.81,6.58,6.81,10.76,21.71,35.89,Low
V5,2026-09-22,66.1,41.41,Loamy,3.55,126.66,44.85,0.873,3,16094.29,657385.58,70.37,2.42,58.69,6.28,7.69,5.97,28.56,67.12,Moderate
V1,2026-12-12,160.75,44.8,Sandy,5.49,150.75,79.44,0.199,9,20413.76,517413.43,69.8,3.77,62.15,6.31,3.57,13.42,17.37,69.29,Moderate
V1,2026-02-22,45.19,36.5,Loamy,4.26,92.14,71.23,0.953,6,20391.04,666607.96,11.56,5.73,24.71,7.28,6.52,14.66,35.29,21.81,Safe
V1,2026-12-06,184.37,9.7,Clay,2.33,127.82,55.61,0.481,6,18908.92,472068.15,52.67,6.36,8.39,7.75,7.25,8.81,32.79,44.05,Low
V1,2026-04-02,90.66,22.96,Loamy,5.91,133.18,63.14,0.108,4,7313.15,484064.92,35.75,2.52,5.14,6.82,7.77,8.92,59.86,40.04,Low
V1,2026-09-21,26.54,37.54,Sandy,4.9,113.55,76.45,0.498,8,18874.42,415936.19,39.1,8.41,31.3,6.34,4.05,5.17,40.56,44.26,Low
V2,2026-02-04,164.99,17.62,Sandy,3.51,136.09,62.16,0.141,5,8411.32,638674.55,68.24,7.56,23.11,7.51,5.52,9.18,49.32,69.95,Moderate
V5,2026-07-25,80.97,35.93,Clay,7.38,112.86,46.98,0.589,7,7036.35,525116.57,31.69,4.24,9.67,7.66,6.4,7.15,26.7,23.22,Safe
V3,2026-03-22,110.03,6.1,Loamy,1.15,120.37,55.15,0.405,9,32844.66,468734.98,76.01,1.15,18.46,7.76,4.24,5.23,51.58,69.56,Moderate
V3,2026-02-19,31.34,18.78,Clay,3.21,80.59,73.73,0.526,5,22358.4,469537.08,22.57,1.85,14.34,7.21,6.0,1.94,40.75,19.53,Safe
V3,2026-12-26,10.49,29.71,Clay,1.4,135.34,65.77,0.652,5,24103.68,670419.98,56.39,5.31,73.62,7.72,4.29,4.54,44.85,70.46,Moderate
V3,2026-01-02,131.22,33.44,Sandy,6.37,132.91,66.03,0.882,4,15857.4,650174.98,57.05,2.69,15.52,6.03,4.67,3.77,24.72,41.3,Low
V2,2026-02-23,107.88,30.97,Loamy,5.91,83.07,74.67,0.696,6,32087.39,566059.27,27.65,5.15,45.32,6.21,5.21,8.59,37.43,38.0,Low
V4,2026-04-16,122.77,36.4,Loamy,3.32,109.46,75.76,0.491,2,23413.78,584833.24,32.73,7.91,49.48,6.19,5.65,9.42,41.7,47.33,Low
V5,2026-09-17,160.81,5.27,Loamy,5.73,158.32,76.79,0.837,3,27613.44,542297.67,68.44,7.02,45.76,7.43,5.25,9.52,39.45,72.51,Moderate
V1,2026-11-06,132.86,9.54,Loamy,3.77,113.66,43.79,0.915,1,14794.0,517499.96,63.33,3.54,12.43,6.14,5.47,6.43,55.76,61.63,Moderate
V4,2026-07-10,43.21,44.1,Clay,6.29,120.16,61.77,0.208,2,33720.38,674643.06,33.04,4.78,28.91,6.99,4.49,6.9,54.91,44.18,Low
V3,2026-08-06,78.55,35.68,Clay,4.18,152.79,69.62,0.579,2,29254.76,437683.81,47.38,7.75,8.85,6.95,3.79,12.68,58.55,56.44,Moderate
V4,2026-02-13,182.12,10.08,Sandy,3.89,137.38,70.28,0.356,8,30326.35,525534.04,14.32,10.47,34.68,6.62,3.24,7.67,43.37,30.45,Low
V5,2026-06-11,156.29,42.89,Clay,7.54,126.57,64.27,0.142,8,8510.22,503368.57,24.61,9.29,19.14,7.74,3.98,14.83,58.6,44.2,Low
V1,2026-07-21,115.76,15.9,Clay,2.76,143.82,46.67,0.702,2,11670.82,549445.22,44.01,7.09,47.12,6.34,5.91,7.15,51.62,57.98,Moderate
V1,2026-09-27,58.57,26.52,Sandy,1.84,149.15,71.9,0.876,6,12140.05,537289.56,16.02,4.99,56.96,6.7,6.93,10.09,23.54,26.4,Low
V5,2026-12-17,67.39,11.53,Sandy,5.09,116.55,68.8,0.247,5,11669.1,555666.86,69.03,5.02,44.91,7.55,3.85,1.71,31.37,63.27,Moderate
V5,2026-10-31,149.07,36.95,Sandy,7.79,118.01,43.45,0.831,3,30373.06,441975.69,60.26,10.67,37.57,6.06,3.54,10.15,21.92,58.62,Moderate
V3,2026-09-28,171.72,35.01,Clay,3.64,110.88,58.55,0.868,5,4020.31,553942.45,76.05,1.43,34.05,7.35,6.75,12.92,10.21,59.32,Moderate
V1,2026-08-03,137.57,14.5,Clay,1.43,157.34,46.96,0.923,5,5435.2,472725.64,58.54,11.87,68.13,7.63,4.53,14.19,19.4,68.56,Moderate
V4,2026-09-09,163.81,43.85,Sandy,3.38,135.77,53.5,0.339,5,11765.28,455299.4,75.83,8.31,21.45,7.86,7.76,14.96,10.2,60.46,Moderate
V2,2026-07-09,155.66,23.06,Sandy,4.54,86.66,40.72,0.914,3,9395.94,419450.27,48.82,8.49,60.07,7.75,6.57,4.95,45.99,62.42,Moderate
V2,2026-10-23,38.44,18.16,Sandy,2.13,149.04,56.01,0.389,3,10419.51,628795.77,52.02,1.42,61.81,6.64,4.63,9.06,31.28,57.35,Moderate
V5,2026-08-01,90.55,11.85,Clay,5.61,118.44,62.0,0.597,4,28534.18,528232.58,78.39,7.66,36.44,7.17,4.45,7.31,25.63,70.17,Moderate
V3,2026-07-27,39.07,16.98,Clay,7.98,85.5,64.78,0.145,7,21020.05,587993.1,54.95,6.33,27.3,6.15,5.62,8.89,48.09,59.38,Moderate
V2,2026-08-25,54.69,5.99,Loamy,4.16,123.98,66.54,0.139,2,3184.66,618278.0,12.16,2.16,40.29,6.52,3.4,3.2,51.62,26.36,Low
V1,2026-12-04,175.16,31.25,Clay,3.48,113.37,73.45,0.748,4,16738.33,603795.0,60.67,4.06,11.99,6.19,3.59,12.99,58.76,65.81,Moderate
V5,2026-02-22,99.85,42.9,Clay,3.8,150.22,48.62,0.5,4,16052.32,541150.22,73.38,10.79,8.44,6.63,3.88,13.73,42.1,71.37,Moderate
V4,2026-10-07,111.72,29.7,Clay,1.81,96.32,44.82,0.331,1,6646.25,516369.56,65.69,7.05,13.37,7.75,6.87,7.3,33.08,55.46,Moderate
V5,2026-08-05,43.9,14.87,Sandy,7.18,146.12,74.06,0.271,8,24636.54,512787.97,50.87,5.55,19.04,6.69,5.57,4.93,25.26,40.06,Low
V4,2026-09-09,69.33,6.52,Clay,3.9,124.62,46.26,0.703,1,25467.11,592014.64,56.99,1.8,42.81,7.12,3.05,2.97,21.12,47.51,Low
V5,2026-07-07,53.75,14.66,Sandy,3.71,84.37,78.99,0.1,8,26068.58,548438.31,79.31,8.86,68.69,6.87,6.37,10.57,20.65,80.77,High
V5,2026-02-10,49.18,23.73,Loamy,5.62,157.75,73.7,0.825,7,26311.07,654739.67,16.35,8.73,22.67,6.92,5.12,5.37,30.46,19.17,Safe
V5,2026-06-06,131.21,39.18,Loamy,4.09,121.01,60.04,0.171,9,3001.69,662410.6,56.71,7.75,75.14,7.94,5.55,13.73,59.59,84.9,High
V4,2026-01-15,58.81,13.45,Sandy,5.54,103.27,79.26,0.272,8,33525.47,451168.11,29.84,6.61,76.62,6.59,4.07,10.39,10.04,39.04,Low
V4,2026-10-28,130.08,37.39,Sandy,1.43,117.55,43.9,0.448,5,29054.68,440870.1,54.81,5.77,76.92,7.25,5.76,10.04,19.86,61.85,Moderate
V5,2026-03-06,21.11,44.01,Sandy,6.7,148.63,52.12,0.536,8,31927.41,589120.28,52.53,7.53,67.82,6.84,7.9,8.83,19.42,56.72,Moderate
V2,2026-12-11,36.94,25.43,Clay,7.58,104.39,65.53,0.419,3,3500.59,490367.72,20.74,3.57,32.29,6.12,3.37,1.64,45.86,27.78,Low
V3,2026-11-23,62.16,41.96,Loamy,5.54,95.41,54.0,0.389,7,32883.48,405571.22,24.47,11.35,10.45,6.98,4.42,14.05,27.62,27.61,Low
V3,2026-01-09,123.44,29.96,Sandy,7.68,90.33,77.13,0.968,4,28913.23,666592.8,53.51,7.48,47.66,7.63,4.21,9.79,32.86,59.2,Moderate
V3,2026-12-10,138.41,33.67,Clay,2.06,103.83,42.63,0.677,5,29791.01,468070.23,18.98,4.42,46.9,6.2,4.24,14.92,17.43,26.21,Low
V4,2026-05-09,94.12,28.68,Loamy,4.34,142.4,61.98,0.121,9,5985.2,678784.2,28.56,5.95,68.75,6.14,4.89,8.52,30.25,43.19,Low
V4,2026-05-16,94.7,25.84,Clay,5.21,117.73,63.63,0.487,7,26640.9,615230.34,68.47,9.86,79.7,6.31,7.09,10.94,15.16,73.83,Moderate
V2,2026-03-04,147.66,15.56,Loamy,5.07,98.2,66.11,0.888,4,33717.33,628796.05,32.9,2.78,43.11,7.53,7.56,1.79,36.65,34.59,Low
V3,2026-05-19,13.01,18.64,Clay,3.81,93.29,50.23,0.371,6,24713.51,460438.45,44.16,4.22,30.89,7.45,4.01,9.84,14.9,36.41,Low
V3,2026-03-22,74.81,18.05,Loamy,3.37,106.62,54.58,0.185,7,21257.96,470258.33,75.88,8.47,18.94,7.13,5.71,11.71,49.53,76.77,High
V5,2026-06-12,165.55,30.35,Loamy,1.89,155.19,73.75,0.783,9,33260.15,556380.33,25.9,4.47,5.36,6.94,6.18,11.9,38.33,25.97,Low
V4,2026-10-16,124.61,10.4,Clay,3.74,107.44,47.8,0.645,4,17173.99,451629.96,37.27,9.72,43.18,7.78,5.61,11.78,46.2,53.6,Moderate
V3,2026-09-18,74.07,46.26,Sandy,2.14,159.05,73.07,0.613,3,22177.39,491629.51,52.45,2.43,46.66,7.53,5.17,4.17,30.93,50.23,Moderate
V2,2026-08-19,182.05,37.43,Loamy,6.14,118.82,62.51,0.148,8,18242.83,496438.74,62.87,9.39,66.87,7.62,3.96,14.66,29.07,74.97,Moderate
V2,2026-02-10,156.8,23.07,Sandy,2.46,94.33,70.49,0.226,1,32851.08,447888.98,73.12,1.75,42.84,7.63,5.44,14.93,14.91,63.82,Moderate
V3,2026-01-28,60.33,12.14,Clay,1.41,151.29,68.54,0.66,9,5434.71,461554.85,74.08,1.14,73.74,7.29,5.01,2.06,36.19,75.85,High
V4,2026-05-15,132.61,44.69,Sandy,4.87,116.83,48.3,0.287,1,19035.83,636565.55,64.36,10.88,52.11,6.92,6.98,14.11,35.73,74.29,Moderate
V2,2026-07-20,123.19,42.07,Sandy,5.17,136.77,62.75,0.554,2,24982.48,450158.76,25.98,7.39,68.03,7.73,6.82,5.05,33.41,40.58,Low
V5,2026-11-24,86.23,37.48,Sandy,7.1,158.7,74.71,0.59,8,28341.01,408537.22,11.74,4.87,16.12,7.85,3.67,10.65,47.03,22.62,Safe
V2,2026-09-25,79.72,17.22,Sandy,5.04,84.01,57.28,0.355,9,21656.6,588806.48,36.86,3.56,69.15,6.05,3.44,5.73,51.63,56.97,Moderate
V1,2026-02-02,75.28,23.11,Sandy,3.42,87.74,78.66,0.954,7,32085.37,692794.94,19.91,7.79,55.64,6.1,7.54,14.55,47.54,44.53,Low
V1,2026-02-17,127.26,9.62,Loamy,6.62,137.64,58.09,0.858,3,33143.73,499364.14,59.73,6.6,17.77,7.92,5.68,2.42,17.19,41.85,Low
V4,2026-03-03,94.06,13.51,Loamy,4.78,102.55,45.71,0.75,7,5058.22,435596.71,56.28,11.91,19.23,6.55,7.29,7.97,41.1,57.02,Moderate
V3,2026-08-04,168.05,40.24,Loamy,1.55,94.74,55.58,0.17,6,15875.86,571116.2,13.08,11.82,74.49,7.75,3.29,6.99,14.02,28.57,Low
V4,2026-10-20,137.22,37.18,Clay,4.96,83.15,78.07,0.196,2,3750.69,671906.26,68.56,7.99,7.42,6.78,5.63,5.56,44.73,61.17,Moderate
V4,2026-04-09,23.29,31.71,Sandy,7.36,81.75,52.79,0.544,3,13541.33,635218.53,27.41,5.87,39.69,6.24,5.7,10.04,29.09,33.37,Low
V4,2026-06-21,131.63,45.31,Loamy,3.77,141.96,74.72,0.245,5,20179.78,586754.76,40.26,6.4,28.51,6.16,7.3,2.83,16.62,29.41,Low
V4,2026-12-26,61.52,31.25,Clay,3.07,90.75,75.25,0.98,4,32145.44,494516.95,56.76,8.51,54.88,6.31,3.49,11.03,53.1,75.04,High
V5,2026-08-02,122.63,26.01,Loamy,2.0,117.42,54.01,0.243,2,30089.74,562564.05,40.06,2.12,67.97,6.5,4.2,14.73,40.7,58.46,Moderate
V5,2026-02-04,139.23,20.32,Loamy,2.06,128.47,43.33,0.539,4,7079.99,427373.45,40.89,4.61,32.03,6.98,5.03,12.26,27.74,41.64,Low
V2,2026-08-15,53.86,47.32,Sandy,4.03,114.27,68.98,0.428,8,5976.97,603683.63,14.59,1.83,37.02,7.4,7.33,13.04,11.54,13.24,Safe
V1,2026-04-11,96.8,8.72,Clay,5.17,82.17,52.46,0.675,5,21856.55,617528.81,38.1,1.81,78.64,7.97,7.69,6.03,36.87,51.78,Moderate
V4,2026-05-11,46.16,46.89,Sandy,1.56,142.68,71.32,0.216,5,20027.78,689509.49,63.54,3.15,63.79,6.88,7.96,5.55,56.16,76.38,High
V2,2026-09-14,19.94,42.2,Sandy,7.58,80.84,57.71,0.487,3,11524.08,478119.21,74.06,6.34,72.29,7.04,7.8,8.24,39.82,83.28,High
V1,2026-01-05,81.91,10.85,Loamy,6.29,140.95,59.41,0.347,8,31782.5,405536.93,38.94,9.63,37.91,7.04,3.03,1.64,58.58,53.47,Moderate
V3,2026-08-06,78.96,30.42,Sandy,5.11,151.46,71.12,0.899,6,32675.73,563682.54,39.65,6.34,22.56,7.08,3.24,14.24,16.82,35.5,Low
V5,2026-09-12,199.14,43.99,Clay,6.8,114.63,55.29,0.137,2,15883.57,612037.15,59.18,4.69,35.89,7.04,3.74,3.01,38.42,56.73,Moderate
V1,2026-12-25,94.81,30.73,Sandy,1.56,122.84,57.73,0.922,2,31489.68,637122.24,75.99,1.91,58.71,6.02,4.74,13.64,49.91,86.82,High
V3,2026-10-10,73.38,45.82,Sandy,4.34,118.16,55.05,0.85,9,15286.36,458121.68,28.69,7.05,13.21,6.0,7.15,2.17,36.28,24.87,Safe
V1,2026-07-26,120.29,47.43,Sandy,5.41,111.14,54.69,0.368,7,26578.14,478525.86,40.81,3.98,25.29,6.2,7.46,12.52,14.55,32.35,Low
V5,2026-01-15,26.87,24.01,Loamy,6.8,150.99,61.04,0.81,9,18230.15,553777.28,65.72,7.76,8.5,6.2,3.93,3.13,39.14,55.56,Moderate
V5,2026-12-12,192.72,21.98,Clay,6.48,151.51,72.35,0.128,6,6922.66,499180.24,52.68,11.75,37.43,7.41,6.1,1.53,40.59,55.91,Moderate
V2,2026-02-11,130.64,47.13,Loamy,2.94,106.87,54.47,0.97,5,32693.89,658153.45,17.74,2.22,67.06,6.41,7.59,11.07,46.44,40.24,Low
V4,2026-06-28,153.42,35.38,Loamy,7.59,129.21,60.97,0.574,1,17531.09,542128.05,53.94,3.33,6.85,7.79,5.32,4.92,48.06,47.98,Low
V1,2026-03-04,42.39,10.22,Loamy,1.87,154.15,66.83,0.373,6,26503.59,639873.59,23.07,6.2,55.65,7.86,3.52,11.0,48.54,45.51,Low
V1,2026-12-18,87.8,6.9,Loamy,7.13,156.96,50.78,0.426,6,14749.56,574185.93,45.72,11.65,74.94,7.95,5.29,8.77,43.17,68.06,Moderate
V3,2026-08-19,90.31,30.41,Loamy,7.8,120.72,51.1,0.16,3,3604.19,631927.04,47.04,9.49,22.77,7.88,4.88,2.52,20.79,37.32,Low
V5,2026-08-29,166.14,46.86,Clay,2.24,116.23,77.34,0.99,3,6216.97,499801.9,71.33,10.88,57.02,6.54,5.89,14.05,30.21,78.96,High
V1,2026-02-21,10.23,42.99,Sandy,6.05,102.3,68.94,0.135,3,18879.02,649424.99,42.37,4.67,78.13,7.02,5.19,7.33,48.81,63.87,Moderate
V5,2026-04-06,67.16,35.41,Loamy,1.28,156.71,63.09,0.689,3,25078.86,482371.69,29.56,11.91,77.17,6.35,3.09,11.28,57.67,65.36,Moderate
V1,2026-08-10,196.43,11.26,Loamy,3.84,91.43,65.91,0.498,7,13711.53,563829.64,26.17,2.13,22.62,7.61,7.97,8.01,13.95,15.74,Safe
V2,2026-08-19,100.23,16.44,Clay,4.61,126.39,41.17,0.954,2,25255.63,464202.13,71.2,1.58,12.52,7.78,5.72,9.46,36.78,59.51,Moderate
V4,2026-08-25,82.68,44.4,Clay,5.06,102.6,64.72,0.321,2,25356.34,542657.96,21.97,10.41,16.12,7.7,5.37,5.24,25.63,20.14,Safe
V1,2026-05-23,32.77,13.23,Sandy,7.55,102.32,60.38,0.579,3,25525.95,495452.56,39.81,11.2,57.65,6.87,7.77,3.81,21.27,43.74,Low
V5,2026-06-20,195.09,17.53,Clay,5.71,112.4,61.83,0.534,7,18760.7,480011.03,23.1,2.0,59.43,7.52,3.78,8.6,35.29,36.34,Low
V2,2026-01-29,13.81,10.83,Sandy,4.37,159.9,54.38,0.733,3,32276.36,690095.51,64.13,2.25,55.57,6.2,3.95,7.16,40.3,68.58,Moderate
V1,2026-02-05,150.06,35.42,Loamy,6.67,84.4,43.26,0.161,7,18654.29,448022.23,43.21,1.36,30.21,6.08,7.04,6.46,10.49,28.58,Low
V3,2026-01-13,156.03,47.48,Loamy,7.65,126.28,47.73,0.274,9,17408.49,636197.75,34.58,2.15,17.73,7.51,4.3,10.42,49.01,39.76,Low
V4,2026-06-09,56.29,17.1,Sandy,1.15,86.61,78.03,0.293,4,9380.19,695249.49,35.28,3.3,48.56,6.85,7.0,10.67,50.99,50.84,Moderate
V1,2026-11-23,137.6,26.39,Clay,7.88,92.36,56.35,0.764,7,12844.96,405970.45,69.65,11.67,41.28,7.99,4.36,1.64,58.28,79.1,High
V2,2026-07-06,27.66,33.55,Sandy,1.6,115.17,58.67,0.27,9,4354.7,609708.22,48.76,8.35,59.66,6.19,3.17,5.74,19.03,51.13,Moderate
V3,2026-08-31,58.84,49.98,Clay,6.7,120.84,42.11,0.616,8,23273.13,475873.54,60.25,9.56,38.1,7.71,5.59,6.76,39.73,63.65,Moderate
